# source=https://pfseform.financnasprava.sk/Formulare/eFormVzor/DP/form.621.prijimatelia_2026.html
# source_last_modified=Wed, 17 Jun 2026 06:44:32 GMT
# generated_at=2026-06-30T15:35:09.541Z
ico;obchMeno;pravnaForma;mesto;ulica;supisneCislo;orientacneCislo;psc;stat;iban;kodBanky;nazovBanky
35517301;Csemadok Mestský výbor Košice;Občianske združenie;Košice - mestská časť Staré Mesto;Kováčska;256;38;04001;SK;SK0475000000004029589785;7500;Československá obchodná banka, a.s.
36068241;1. JUDO CLUB PEZINOK;Občianske združenie;Pezinok;1.mája;4599;29A;90201;SK;SK6675000000000155748363;7500;Československá obchodná banka, a.s.
55864031;Pomáhame zamestnancom a priateľom TN logistica;Občianske združenie;Senec;Diaľničná cesta;5455;21A;90301;SK;SK5975000000004034546659;7500;Československá obchodná banka, a.s.
56049366;Modrá vlna;Občianske združenie;Drienovská Nová Ves;;34;;08201;SK;SK9709000000005215068136;0900;Slovenská sporiteľňa, a.s.
53469381;FIVI CLUB;Občianske združenie;Banská Bystrica;Jesenná;14636;16;97405;SK;SK1483300000002902064950;8330;Fio banka a.s
52540227;Berg Schola n.o.;Nezisková organizácia poskytujúca všeobecne prospešné služby;Štiavnické Bane;;84;;969 81;SK;SK9209000000005168160481;0900;Slovenská sporiteľňa, a.s.
42359201;Občianske združenie Vrškárik;Občianske združenie;Modra;Sládkovičova;1476;13;90001;SK;SK6309000000005061525508;0900;Slovenská sporiteľňa, a.s.
42337143;Rodičovské združenie pri ZŠ s MŠ Rastislavice 186;Občianske združenie;Rastislavice;ZŠ s MŠ,;;186;94108;SK;SK9765000000000020540880;6500;365.bank
55577741;Child dreams;Občianske združenie;Bratislava - mestská časť Vajnory;Roľnícka;9321;187;83107;SK;SK2275000000004034441304;7500;Československá obchodná banka, a.s.
31823955;Hokejový klub Lokomotíva Nové Zámky;Občianske združenie;Nové Zámky;Športová;8383;1;94068;SK;SK0809000000005164255512;0900;Slovenská sporiteľňa, a.s.
42008204;Stredisko evanjelickej DIAKONIE Horná Mičiná;Účelové zariadenie cirkvi a náboženskej spoločnosti;Horná Mičiná;;46;;97401;SK;SK5983300000002601207970;8330;Fio banka a.s
36162540;Slovenský skauting, 3. zbor Aničky a Bořivoja Uhrových Kežmarok;Občianske združenie;Kežmarok;Karola Kuzmányho;1587;39;06001;SK;SK7611000000002928855160;1100;Tatra banka, a.s.
42202639;Korfbalový klub SPU Nitra;Občianske združenie;Nitra;Bohúňova;365;5;94901;SK;SK9283300000002002079989;8330;Fio banka a.s
37890549;Náš život - SENIORFOND Sušany;Občianske združenie;Sušany;;72;;98012;SK;SK8375000000004030290449;7500;Československá obchodná banka, a.s.
36149721;SAMARITÁN, n. o.;Nezisková organizácia poskytujúca všeobecne prospešné služby;Martin;Komenského;4058;19;03601;SK;SK1209000000005223416807;0900;Slovenská sporiteľňa, a.s.
53073118;ooo;Občianske združenie;Bratislava - mestská časť Petržalka;Vyšehradská;3732;14;85106;SK;SK5883300000002801850354;8330;Fio banka a.s
56058993;Občianske združenie SLANICA;Občianske združenie;Námestovo;Slanická osada;2178;;02901;SK;SK8711000000002946284795;1100;Tatra banka, a.s.
52136931;Race team Bajčičák, n.o.;Nezisková organizácia poskytujúca všeobecne prospešné služby;Štrba;Lesná;1193;60;05941;SK;SK1956000000005748496002;5600;Prima banka Slovensko, a.s.
53500601;EKO Slovensko;Občianske združenie;Jahodná;Mlynská ulica;816;16;93021;SK;SK2709000000005181603814;0900;Slovenská sporiteľňa, a.s.
001774742016;Dobrovoľný hasičský zbor Horenická Hôrka;Občianske združenie;Lednické Rovne;Horenická;;;02061;SK;SK1709000000005023226662;0900;Slovenská sporiteľňa, a.s.
31814379;Komunita Dlhé diely;Občianske združenie;Bratislava - mestská časť Karlova Ves;Veternicová;;27;84105;SK;SK5411000000002620012212;1100;Tatra banka, a.s.
52718981;Stolnotenisový klub Zemné;Občianske združenie;Zemné;;845;;94122;SK;SK6883300000002801782080;8330;Fio banka a.s
173196171339;SRRZ - RZ pri Materskej škole;Občianske združenie;Zohor;Školská;432;2;90051;SK;SK2709000000000652835804;0900;Slovenská sporiteľňa, a.s.
42337941;Medovka o.z.;Občianske združenie;Nitra;Svätourbanská;89;1;94901;SK;SK8211000000002929907890;1100;Tatra banka, a.s.
37976559;PLÁNE;Občianske združenie;Bytča;Lúčna;1012;13;01401;SK;SK8975000000004007990914;7500;Československá obchodná banka, a.s.
50779982;Hokejový klub Team 21;Občianske združenie;Bratislava - mestská časť Karlova Ves;Matejkova;3338;22;84105;SK;SK0511000000002949064739;1100;Tatra banka, a.s.
35542535;Občianske združenie rodičov pri ZUŠ v Rožňave;Občianske združenie;Rožňava;Akademika Hronca;3490;9B;04801;SK;SK6809000000000511157157;0900;Slovenská sporiteľňa, a.s.
50094467;Združenie priateľov tradície;Občianske združenie;Modra;Piesok;4015;B7;90001;SK;SK5283300000002301026270;8330;Fio banka a.s
51207559;šk ALYSSUM;Občianske združenie;Banská Bystrica;Kráľovohoľská;6148;15;97411;SK;SK4883300000002001338731;8330;Fio banka a.s
45784957;Kúpele pre všetkých;Občianske združenie;Nimnica;;;;02071;SK;SK4502000000003747616253;0200;Všeobecná úverová banka, a.s.
31908811;Čiernohronská železnica, n.o.;Nezisková organizácia poskytujúca všeobecne prospešné služby;Čierny Balog;Hlavná;248;56;97652;SK;SK3702000000001523666551;0200;Všeobecná úverová banka, a.s.
55258727;Spoločnosť Ústavu teórie práva Gustava Radbrucha o.z.;Občianske združenie;Košice - mestská časť Staré Mesto;Kováčska;238;30;04075;SK;SK1509000000005202646531;0900;Slovenská sporiteľňa, a.s.
45742715;St. Martin n.o.;Občianske združenie;Ličartovce;;114;;08203;SK;SK4465000000000020539409;6500;365.bank
006981720129;Základná organizácia SZZP Zvolen;Občianske združenie;Zvolen;Ferjenčíkova;1;;96001;SK;SK9409000000000071642123;0900;Slovenská sporiteľňa, a.s.
31817947;Kanoistický klub Slávia UK Bratislava;Občianske združenie;Bratislava - mestská časť Karlova Ves;Lackova;3304;19;84104;SK;SK2411000000002661430103;1100;Tatra banka, a.s.
31117236;PROVITAL, občianske združenie;Občianske združenie;Nitrianske Pravno;Jilemnického;874;75;97213;SK;SK7702000000000045830382;0200;Všeobecná úverová banka, a.s.
52948374;Nádej pre Zoe;Občianske združenie;Dunajská Streda;Levanduľová ulica;7643;12;92901;SK;SK9683300000002901837464;8330;Fio banka a.s
56287780;Nadanie Plus, o.z.;Občianske združenie;Bratislava - mestská časť Nové Mesto;Skalická cesta;1143;1;83102;SK;SK2111000000002943284706;1100;Tatra banka, a.s.
51225549;MAXIMUM 4 STREŽENICE;Občianske združenie;Streženice;Cintorínska;172;7;02001;SK;SK8083300000002001372008;8330;Fio banka a.s
14223902;Judo klub Sparta Považská Bystrica;Občianske združenie;Považská Bystrica;Judo hala, Športovcov;2114;50;01701;SK;SK4111000000002626784889;1100;Tatra banka, a.s.
53754549;Ateliér L, o.z.;Občianske združenie;Bratislava - mestská časť Ružinov;Babuškova;3108;10;82103;SK;SK6311000000002945113855;1100;Tatra banka, a.s.
36076252;Združenie rodičov Materskej školy Švantnerova;Občianske združenie;Bratislava - mestská časť Dúbravka;Švantnerova;1854;1;84101;SK;SK1602000000002015281553;0200;Všeobecná úverová banka, a.s.
50594885;TENISOVÝ KLUB TIE - BREAK MALACKY, o. z.;Občianske združenie;Malacky;Jozefa Kubinu;2893;7;90101;SK;SK9411000000002946031499;1100;Tatra banka, a.s.
006981720055;Slovenský zväz zdravotne postihnutých Základná organizácia Smolník;Občianske združenie;Smolník;Smolník;1;;05566;SK;SK7609000000000521860284;0900;Slovenská sporiteľňa, a.s.
42407061;Spoločnosť pre štúdium spirituality;Občianske združenie;Košice - mestská časť Ťahanovce;Pekinská;;17;04013;SK;SK8683300000002900766182;8330;Fio banka a.s
50510088;NAŠA ŠKOLA MILOSLAVOV;Občianske združenie;Miloslavov;Hlavná ulica;81;42;90042;SK;SK9111110000001468225007;1111;UniCredit Bank Czech Republic and Slovakia, a.s.
55944434;Súbor mažoretiek ELLČAČA;Občianske združenie;Čadca;Okružná;3001;4C;02204;SK;SK1509000000005213344467;0900;Slovenská sporiteľňa, a.s.
37880616;Združenie rodičov pri Materskej škole Štrba;Občianske združenie;Štrba;Školská;808;19;05938;SK;SK5209000000000491949893;0900;Slovenská sporiteľňa, a.s.
45744262;Za oponou n. o.;Nezisková organizácia poskytujúca všeobecne prospešné služby;Žilina;Tolstého;1207;8;01001;SK;SK9183300000002300757266;8330;Fio banka a.s
42019214;"""""LAVÍNA Partizánske""""";Občianske združenie;Partizánske;Námestie SNP;949;20;95801;SK;SK9709000000000264517257;0900;Slovenská sporiteľňa, a.s.
173196170520;SRRZ - RZ pri Strednej odbornej škole technickej;Občianske združenie;Rožňava;Hviezdoslavova;362;5;04801;SK;SK6109000000000099623725;0900;Slovenská sporiteľňa, a.s.
42416141;OZ Relax a šport;Občianske združenie;Bratislava - mestská časť Nové Mesto;Hlavná;3250;12A;83101;SK;SK0983300000002900740214;8330;Fio banka a.s
53394712;"Občianske združenie """"OLI VER si""""";Občianske združenie;Prešov;Prostějovská;4834;89;08001;SK;SK0283300000002802058748;8330;Fio banka a.s
50659405;NELLYNKA;Občianske združenie;Veľký Folkmar;;517;;05551;SK;SK0611110000001461075018;1111;UniCredit Bank Czech Republic and Slovakia, a.s.
30798388;HK SKIFUNALP;Občianske združenie;Bratislava - mestská časť Ružinov;Palkovičova;;8;82108;SK;SK7911000000002625712840;1100;Tatra banka, a.s.
52946959;Nadácia Júliusa Horvátha;Nadácia;Hlohovec;Pribinova;429;18;92001;SK;SK8209000000005210572456;0900;Slovenská sporiteľňa, a.s.
55954073;Šport 42;Občianske združenie;Bratislava - mestská časť Podunajské Biskupice;Podunajská;12542;23F;82106;SK;SK4175000000004035176610;7500;Československá obchodná banka, a.s.
42432545;Komunitné vzdelávanie Kalimba;Občianske združenie;Žilina;Tulská;1684;4;01008;SK;SK5983300000002400772893;8330;Fio banka a.s
42285194;Lapierre-CMS;Občianske združenie;Považská Bystrica;Sládkovičova;617;;01701;SK;SK0611110000001358181007;1111;UniCredit Bank Czech Republic and Slovakia, a.s.
31257593;KONTAKT, nezisková organizácia;Nezisková organizácia poskytujúca všeobecne prospešné služby;Košice - mestská časť Staré Mesto;Strojárenská;13;;04001;SK;SK3956000000000446464002;5600;Prima banka Slovensko, a.s.
52955087;Folklórna skupina Sliačanka;Občianske združenie;Liptovské Sliače;Do Pažíť;967;68;03484;SK;SK8483300000002201838538;8330;Fio banka a.s
37984772;Obecný futbalový klub Mokrý Háj;Občianske združenie;Mokrý Háj;;187;;90865;SK;SK8311110000001770789006;1111;UniCredit Bank Czech Republic and Slovakia, a.s.
42047641;Občianske združenie rodičov Obchodnej akadémie Nitra;Občianske združenie;Nitra;Bolečkova;102;2;94901;SK;SK0731000000004220338909;3100;Prima banka Slovensko, a.s. (bývalá Sberbank Slovensko, a.s.)
42350832;Karate Klub TORADE Liptovský Mikuláš, o. z.;Občianske združenie;Liptovský Mikuláš;Jánošíkova;621;9;03101;SK;SK8983300000002602380548;8330;Fio banka a.s
42348765;Lepšia dedinka;Občianske združenie;Brezovica;Dolné Hrady;212;31;028 01;SK;SK0609000000005165581926;0900;Slovenská sporiteľňa, a.s.
56640951;Star-Do n.o.;Nezisková organizácia poskytujúca všeobecne prospešné služby;Trenčín;I. Olbrachta;898;3;911 01;SK;SK1111000000002944182912;1100;Tatra banka, a.s.
42282438;HONORIUS - občianske združenie;Občianske združenie;Trenčín;Smetanova;1655;7;91101;SK;SK5883300000002001198580;8330;Fio banka a.s
52102807;"""""Kométa nad Tomášovom""""";Občianske združenie;Tomášov;Mierová;683;14B;90044;SK;SK3809000000005162949158;0900;Slovenská sporiteľňa, a.s.
50056816;RehabMed AG o.z.;Občianske združenie;Dunajská Streda;Štúrova;725;32;92901;SK;SK4175000000004022647508;7500;Československá obchodná banka, a.s.
42080509;Občianske združenie súkromných vlastníkov nehnuteľností;Občianske združenie;Snina;Kukučínova;2041;2;06901;SK;SK2275002000020005018242;7500;Československá obchodná banka, a.s.
31747698;Bratislavský spolok medikov;Občianske združenie;Bratislava - mestská časť Staré Mesto;Sasinkova;2626;2;81108;SK;SK7783300000002000816252;8330;Fio banka a.s
50753550;ŠK DUKLA Banská Bystrica, o. z.;Občianske združenie;Banská Bystrica;Hutná;1497;3;97404;SK;SK0409000000005128917320;0900;Slovenská sporiteľňa, a.s.
50057570;Nadácia Pro Collegio Posoniensi;Nadácia;Bratislava - mestská časť Staré Mesto;Klariská;333;7;81103;SK;SK8075000000004029932379;7500;Československá obchodná banka, a.s.
37927051;PRO VIDA;Občianske združenie;Bratislava - mestská časť Nové Mesto;Strážna;12831;11;83101;SK;SK4711000000002923833798;1100;Tatra banka, a.s.
50943740;SKI TEAM SENEC;Občianske združenie;Senec;Košická;1758;1;90301;SK;SK6975000000004025320906;7500;Československá obchodná banka, a.s.
42074355;KARATE KLUB JUNIOR PREŠOV, o. z.;Občianske združenie;Prešov;Levočská;4701;77;08001;SK;SK8109000000005121042541;0900;Slovenská sporiteľňa, a.s.
51983923;Občianske združenie rodičov MŠ Slovenská Nová Ves;Občianske združenie;Slovenská Nová Ves;;24;;91942;SK;SK4383300000002401570230;8330;Fio banka a.s
31823106;Športový klub Termál Podhájska;Občianske združenie;Podhájska;Hlboká;285;29;94148;SK;SK0709000000000034740912;0900;Slovenská sporiteľňa, a.s.
00684171;SLOVENSKÁ ASOCIÁCIA CAMPINGU A CARAVANINGU;Občianske združenie;Považská Bystrica;Mládežnícka;2481;35;01701;SK;SK1302000000000055034312;0200;Všeobecná úverová banka, a.s.
45734828;Šafran, n.f.;Neinvestičný fond;Bohunice;;113;;01852;SK;SK4256000000004426272001;5600;Prima banka Slovensko, a.s.
001774741006;Dobrovoľný hasičský zbor Borský Svätý Jur;Občianske združenie;Borský Svätý Jur;;684;;90879;SK;SK1402000000002540838356;0200;Všeobecná úverová banka, a.s.
55616755;Košický šermiarsky cech;Občianske združenie;Košice - mestská časť Dargovských hrdinov;Benadova;914;3;04022;SK;SK3783300000002502682071;8330;Fio banka a.s
52977226;Vzdelávacie centrum KRTKO a jeho kamaráti;Občianske združenie;Trenčín;Šafárikova;2732;9;91108;SK;SK1502000000004294840256;0200;Všeobecná úverová banka, a.s.
35999772;Lions klub Brezno;Občianske združenie;Brezno;Hotel Partizán Tále, Brezno;;;97701;SK;SK6675000000004007935747;7500;Československá obchodná banka, a.s.
52716350;Tango Club, o.z.;Občianske združenie;Bratislava - mestská časť Petržalka;Furdekova;1616;12;85103;SK;SK0702000000004359569955;0200;Všeobecná úverová banka, a.s.
30794978;"""""CERTO RACING""""";Občianske združenie;Bratislava - mestská časť Ružinov;A.Mráza;;8;82103;SK;SK9031000000004120010703;3100;Prima banka Slovensko, a.s. (bývalá Sberbank Slovensko, a.s.)
31942962;Telovýchovná jednota Slovan Bardejov - Dlhá Lúka;Občianske združenie;Bardejov;Chmelník;2251;;08501;SK;SK0509000000000451122760;0900;Slovenská sporiteľňa, a.s.
52973867;Richard levie srdce;Občianske združenie;Trenčianska Turná;;747;;91321;SK;SK7609000000005239883151;0900;Slovenská sporiteľňa, a.s.
55924409;Helpie;Občianske združenie;Hurbanova Ves;Topoľová ulica;229;17;90301;SK;SK5502000000005076678451;0200;Všeobecná úverová banka, a.s.
45733759;Nezisková organizácia Rádu Premonštrátov-Opátstva Jasov, n.o.;Nezisková organizácia poskytujúca všeobecne prospešné služby;Jasov;Podzámok;166;28;04423;SK;SK7309000000005174770112;0900;Slovenská sporiteľňa, a.s.
55845258;Skating Development Academy Košice, o.z.;Občianske združenie;Košice - mestská časť Západ;Strážovská;5804;12;04011;SK;SK6875000000004034565606;7500;Československá obchodná banka, a.s.
005987218028;Slovenský skauting, 50. zbor A. Dubčeka Nové Zámky;Občianske združenie;Nové Zámky;Šoltésovej;5302;2;94002;SK;SK9783300000002902010688;8330;Fio banka a.s
42445914;FIJET SLOVAKIA;Občianske združenie;Bratislava - mestská časť Ružinov;Ružinovská;2747;28;82009;SK;SK6909000000005072309472;0900;Slovenská sporiteľňa, a.s.
30231159;Telovýchovná jednota STRÁŽOV PRUŽINA;Občianske združenie;Pružina;;415;;01822;SK;SK6109000000000063669705;0900;Slovenská sporiteľňa, a.s.
37886967;Dom detí Božieho milosrdenstva, n. o.;Nezisková organizácia poskytujúca všeobecne prospešné služby;Stropkov;Matice Slovenskej;1899;31;09101;SK;SK7809000000005139443204;0900;Slovenská sporiteľňa, a.s.
45742596;UNITED NATIONS ELEMENTARY SCHOOL, n.o.;Občianske združenie;Nitra;Javorová;644;12;94901;SK;SK8409000000005150195934;0900;Slovenská sporiteľňa, a.s.
52090736;OZ DAM Šport Matúškovo;Občianske združenie;Matúškovo;;430;;92501;SK;SK9883300000002701594605;8330;Fio banka a.s
54193150;NeuroRast - vzdelávacie a terapeutické centrum;Občianske združenie;Stará Ľubovňa;Letná;1080;34;06401;SK;SK4209000000005192816647;0900;Slovenská sporiteľňa, a.s.
55215912;Daruj radosť Márii;Občianske združenie;Volica;;52;;06701;SK;SK5575000000004032677735;7500;Československá obchodná banka, a.s.
42041422;Občianske združenie - Devínček;Občianske združenie;Nové Zámky;ZŠ, Devínska;12;;94063;SK;SK7802000000002102000959;0200;Všeobecná úverová banka, a.s.
56660197;EVALEN;Občianske združenie;Bratislava - mestská časť Petržalka;Ševčenkova;1062;13;85101;SK;SK5983300000002003279309;8330;Fio banka a.s
42068347;"Slam - organizačná jednotka občianskeho združenia """"Fléda""""";Organizácia s medzinárodným prvkom;Bratislava - mestská časť Ružinov;Muškátová;6;;82101;SK;SK7483300000002103358207;8330;Fio banka a.s
55261728;OZ Susedia mieru;Občianske združenie;Banská Bystrica;Mieru;2263;16;97401;SK;SK1383300000002702547608;8330;Fio banka a.s
50525701;Náš Devín;Občianske združenie;Bratislava - mestská časť Devín;Štítová;4105;10;84110;SK;SK5483300000002501107067;8330;Fio banka a.s
42407761;Zemplín veterán club Michalovce;Občianske združenie;Michalovce;Staničná;1720;3;07101;SK;SK8811000000002944018178;1100;Tatra banka, a.s.
42091101;KATAI;Občianske združenie;Prešov;Soľná;14155;50;08005;SK;SK5611110000001104441008;1111;UniCredit Bank Czech Republic and Slovakia, a.s.
55375693;Priatelia domácej školy Kremienok;Občianske združenie;Banská Belá;;267;;96615;SK;SK0656000000002027060002;5600;Prima banka Slovensko, a.s.
001774743303;Dobrovoľný hasičský zbor Liptovský Trnovec;Občianske združenie;Liptovský Trnovec;;160;;03222;SK;SK5702000000002133774754;0200;Všeobecná úverová banka, a.s.
56632631;Občianske združenie Folklórnej skupiny RABOĽ;Občianske združenie;Vyšná Myšľa;Dimečky;306;4;04415;SK;SK9311000000002947263320;1100;Tatra banka, a.s.
42129559;Nadácia Orange;Nadácia;Bratislava - mestská časť Ružinov;Metodova;17764;8;82108;SK;SK2511000000002946115676;1100;Tatra banka, a.s.
51282089;CLN, o.z.;Občianske združenie;Pezinok;Moyzesova;6065;4B;90201;SK;SK6609000000005210752000;0900;Slovenská sporiteľňa, a.s.
42265118;OZ Vigo Bratislava;Občianske združenie;Bratislava - mestská časť Karlova Ves;Staré Grunty;;262;84104;SK;SK9711000000002929885310;1100;Tatra banka, a.s.
42013984;DECANET;Občianske združenie;Púchov;Hollého;845;28;02001;SK;SK7283300000002001323070;8330;Fio banka a.s
54626293;Turiec Trails;Občianske združenie;Žabokreky;;317;;03840;SK;SK0583300000002802545925;8330;Fio banka a.s
31905277;Hokejový klub Brezno;Občianske združenie;Brezno;Štvrť Ladislava Novomeského;2157;34;97701;SK;SK2356000000006539991001;5600;Prima banka Slovensko, a.s.
55362630;ÚSMEV SOCIETA Nová Baňa;Občianske združenie;Nová Baňa;Moyzesova;951;10;96801;SK;SK6202000000005078536457;0200;Všeobecná úverová banka, a.s.
37922114;Športový klub 1. FBC TRENČÍN, o.z.;Občianske združenie;Trenčín;Inovecká;1132;3;91101;SK;SK4311000000002655776116;1100;Tatra banka, a.s.
50887971;Alpine Rock;Občianske združenie;Žilina;Martina Rázusa;1176;26;01001;SK;SK2483300000002101275838;8330;Fio banka a.s
54242401;Rodičia a priatelia ZŠ Neded 964;Občianske združenie;Neded;;964;;925 85;SK;SK2083300000002402347129;8330;Fio banka a.s
001782090306;Slovenský rybársky zväz - Mestská organizácia Prievidza;Občianske združenie;Prievidza;Bottova ulica;72;5;97101;SK;SK7109000000000066504447;0900;Slovenská sporiteľňa, a.s.
56613822;Totalica;Občianske združenie;Jelka;Školská;408;10;92523;SK;SK9602000000007172416354;0200;Všeobecná úverová banka, a.s.
30792533;Športový klub AKULO Bratislava;Občianske združenie;Bratislava - mestská časť Petržalka;Vladimír Vorobjov, Ševčenkova;;25;85101;SK;SK4111000000002629836218;1100;Tatra banka, a.s.
55911633;Pomáhame spolu 11;Občianske združenie;Bratislava - mestská časť Podunajské Biskupice;Podunajská;12542;23F;82106;SK;SK2075000000004035164572;7500;Československá obchodná banka, a.s.
55858431;Pomáhame spoločne 49;Občianske združenie;Bratislava - mestská časť Podunajské Biskupice;Podunajská;12542;23F;82106;SK;SK4275000000004035164855;7500;Československá obchodná banka, a.s.
50315358;JEN&JEN - Aktívny život s postihnutím;Občianske združenie;Čierne Pole;;45;;07901;SK;SK6683300000002601036542;8330;Fio banka a.s
42094755;Občianske združenie Rady rodičov Základná škola Považská 12, Košice;Občianske združenie;Košice - mestská časť Západ;Považská;452;12;04011;SK;SK3011000000002625753589;1100;Tatra banka, a.s.
51210223;Rodičovské združenie pri ZŠ P.O. Hviezdoslava;Občianske združenie;Snina;Hviezdoslavova;985;20;06901;SK;SK7602000000004002856257;0200;Všeobecná úverová banka, a.s.
53667280;Slovenský športový klub československého vlčiaka & spol.;Občianske združenie;Častá;Zámocká;189;17;90089;SK;SK7283300000002902616030;8330;Fio banka a.s
52024202;Magdala 1517;Občianske združenie;Bratislava - mestská časť Dúbravka;M. Schneidra Trnavského;2979;2A;84101;SK;SK5711000000002945079431;1100;Tatra banka, a.s.
54097797;Rodičovské združenie pri Základnej škole s materskou školou Vavrinca Benedikta Nedožery-Brezany;Občianske združenie;Nedožery-Brezany;Družby;339;2;97212;SK;SK6056000000009205102001;5600;Prima banka Slovensko, a.s.
308040780329;ZO OZ KOVO Studená valcovňa, U.S.Steel Košice;Občianske združenie;Košice - mestská časť Šaca;Vstupný areál U.S.Steel;;;04454;SK;SK7975000000004007850444;7500;Československá obchodná banka, a.s.
54450683;GORACE24 o.z.;Občianske združenie;Liptovský Mikuláš;1.mája;4625;109A;03101;SK;SK1483300000002802258643;8330;Fio banka a.s
42277566;ZLATÁ ŠKOLA;Občianske združenie;Zlatníky;ZŠ,;62;;95637;SK;SK2375000000004017192940;7500;Československá obchodná banka, a.s.
31266665;Plavecký klub ORCA Bratislava;Občianske združenie;Bratislava - mestská časť Nové Mesto;Za kasárňou;315;1;83103;SK;SK7183300000002801851090;8330;Fio banka a.s
008969000021;Zvolen Klub SM pri SZSM;Občianske združenie;Zvolen;Jedľová;1364;1;96001;SK;SK6209000000000400210023;0900;Slovenská sporiteľňa, a.s.
42355109;Volejbalový klub STU Bratislava;Občianske združenie;Bratislava - mestská časť Nové Mesto;Bajkalská;;9B;83104;SK;SK6783300000002800622851;8330;Fio banka a.s
42084458;Občianske združenie ZUŠiačik;Občianske združenie;Prešov;Prostějovská;6970;103;08001;SK;SK0575000000004034088336;7500;Československá obchodná banka, a.s.
54829054;Samkova lampička;Občianske združenie;Nové Mesto nad Váhom;Ulica Juraja Kréna;6312;29;91501;SK;SK7909000000005207767367;0900;Slovenská sporiteľňa, a.s.
00609081;ŠK Svätý Jur;Občianske združenie;Svätý Jur;Športová;;1;90021;SK;SK7509000000000181953387;0900;Slovenská sporiteľňa, a.s.
56502303;Rodičovské združenie pri MŠ Valaliky;Občianske združenie;Valaliky;Poľná;166;4;04413;SK;SK2483300000002202999544;8330;Fio banka a.s
17058783;Klub slovenských turistov Dubnica nad Váhom;Občianske združenie;Dubnica nad Váhom;Partizánska;151;3;01841;SK;SK4909000000000063670503;0900;Slovenská sporiteľňa, a.s.
56213654;DFS MARGARÉTA o.z.;Občianske združenie;Malinovo;Fialková;1003;3;90045;SK;SK7083300000002202983972;8330;Fio banka a.s
35603607;Futbalový club Komjatice;Občianske združenie;Komjatice;Nádražná;280;33;94106;SK;SK1902000000000049034172;0200;Všeobecná úverová banka, a.s.
51154897;JK I-Horses;Občianske združenie;Biskupice;Nógrádiho;310;5;98601;SK;SK1002000000003889212051;0200;Všeobecná úverová banka, a.s.
55863388;Damiánkova cesta;Občianske združenie;Trnava;Ulica Jarná;4559;30;91705;SK;SK3383300000002802817409;8330;Fio banka a.s
55924727;TRIKÁČKO;Občianske združenie;Senica;Vajanského;28;2;90501;SK;SK8909000000005212658800;0900;Slovenská sporiteľňa, a.s.
53419502;S vami to zvládnem;Občianske združenie;Veľký Lipník;;282;;06533;SK;SK1783300000002601903343;8330;Fio banka a.s
42247594;VIGANČEK;Občianske združenie;Košice - mestská časť Sídlisko Ťahanovce;Helsinská;;2;04013;SK;SK8102000000003038052651;0200;Všeobecná úverová banka, a.s.
42160120;DANIEL;Občianske združenie;Skalica;Potočná;201;17;90901;SK;SK3465000000000020312706;6500;365.bank
42287707;Plavecký klub Aqua Senica;Občianske združenie;Senica;Sotinská;1421;33;90501;SK;SK7483300000002000328881;8330;Fio banka a.s
56636962;Most k zmene;Občianske združenie;Spišské Vlachy;Okolie;948;4;05361;SK;SK1283300000002803129448;8330;Fio banka a.s
55188648;OZ Fuk Hanička;Občianske združenie;Skačany;;495;;95853;SK;SK7375000000004032674307;7500;Československá obchodná banka, a.s.
55925880;preBUĎME Šumiac;Občianske združenie;Nová Dedinka;Biela;;29;90029;SK;SK4683300000002903215861;8330;Fio banka a.s
55678262;Folklórny súbor Čemerica;Občianske združenie;Humenné;Námestie slobody;1734;57;06601;SK;SK3083300000002202661391;8330;Fio banka a.s
17150604;TJ Vyšné Remety;Občianske združenie;Vyšné Remety;;;;07241;SK;SK6909000000000484271746;0900;Slovenská sporiteľňa, a.s.
55754627;JOGA V MESTE;Občianske združenie;Trenčín;28.októbra;1177;43;91101;SK;SK3809000000005224386048;0900;Slovenská sporiteľňa, a.s.
34000496;Telovýchovná jednota Družstevník Dvory n. Žitavou;Občianske združenie;Dvory nad Žitavou;Petöfiho;;;94131;SK;SK2311110000006603284011;1111;UniCredit Bank Czech Republic and Slovakia, a.s.
53472055;Slovenská asociácia dopravných a obchodných pilotov;Občianske združenie;Bratislava - mestská časť Nové Mesto;Bajkalská;14083;2C;83104;SK;SK4683300000002602395096;8330;Fio banka a.s
45784671;Rodičovské združenie pri základnej a materskej škole v Ohradzanoch;Občianske združenie;Ohradzany;;162;;06722;SK;SK6975000000004022419636;7500;Československá obchodná banka, a.s.
36144096;Domka - Združenie saleziánskej mládeže, stredisko Námestovo ;Občianske združenie;Námestovo;Mlynská;677;40;02901;SK;SK9109000000000320174413;0900;Slovenská sporiteľňa, a.s.
53970144;OZ Senec Gardens;Občianske združenie;Senec;Fialková;5396;2;90301;SK;SK3909000000005194988143;0900;Slovenská sporiteľňa, a.s.
18047467;Futbalový klub Krakovany;Občianske združenie;Krakovany;Školská;468;4;92202;SK;SK9509000000000048278976;0900;Slovenská sporiteľňa, a.s.
54770645;zaŽI skuSENosť n. o.;Nezisková organizácia poskytujúca všeobecne prospešné služby;Dubnica nad Váhom;Nerudova;4039;;01841;SK;SK0911110000001844560002;1111;UniCredit Bank Czech Republic and Slovakia, a.s.
